Date,Open,High,Low,Close,Adj Close,Volume
2021-03-22,35.480000,36.009998,35.360001,36.000000,35.328758,25427500
2021-03-23,35.820000,35.930000,35.320000,35.360001,34.700691,27970500
2021-03-24,35.480000,35.930000,35.369999,35.610001,34.946030,22883400
2021-03-25,35.650002,35.790001,35.250000,35.669998,35.004910,24875300
2021-03-26,35.680000,36.290001,35.639999,36.250000,35.574097,27944500
2021-03-29,36.029999,36.740002,35.900002,36.619999,35.937195,27004800
2021-03-30,36.590000,36.630001,36.020000,36.110001,35.436707,26303300
2021-03-31,36.150002,36.430000,36.040001,36.230000,35.554470,26582700
2021-04-01,36.299999,36.450001,36.020000,36.299999,35.623161,21319900
2021-04-05,36.439999,36.570000,36.099998,36.279999,35.603535,22096900
2021-04-06,36.259998,36.400002,36.000000,36.049999,35.377823,20722900
2021-04-07,36.029999,36.240002,35.759998,35.910000,35.240437,21933800
2021-04-08,35.959999,36.150002,35.869999,35.959999,35.289501,18129400
2021-04-09,35.900002,36.810001,35.900002,36.599998,35.917568,31686700
2021-04-12,36.480000,37.029999,36.330002,36.970001,36.280674,29944900
2021-04-13,37.410000,37.650002,36.889999,37.160000,36.467129,33967400
2021-04-14,37.169998,37.380001,36.959999,37.169998,36.476940,23842900
2021-04-15,37.259998,37.740002,37.259998,37.599998,36.898922,24945800
2021-04-16,37.869999,38.700001,37.810001,38.570000,37.850838,52829500
2021-04-19,38.599998,38.959999,38.330002,38.930000,38.204128,30905100
2021-04-20,38.750000,39.240002,38.750000,39.029999,38.302261,26459400
2021-04-21,39.139999,39.669998,39.130001,39.529999,38.792938,29365000
2021-04-22,39.480000,39.500000,38.520000,38.639999,37.919533,33373600
2021-04-23,38.630001,38.830002,38.430000,38.660000,37.939159,24375000
2021-04-26,38.730000,38.740002,38.490002,38.680000,37.958786,19773400
2021-04-27,38.509998,38.610001,38.349998,38.450001,37.733074,19061500
2021-04-28,38.540001,38.939999,38.520000,38.810001,38.086365,21963300
2021-04-29,38.990002,39.000000,38.310001,38.599998,37.880276,23569400
2021-04-30,38.500000,38.900002,38.490002,38.650002,37.929348,28413200
2021-05-03,39.040001,39.840000,38.959999,39.830002,39.087345,46638600
2021-05-04,40.000000,40.169998,39.430000,39.950001,39.205109,52802200
2021-05-05,40.180000,41.090000,38.930000,39.970001,39.224735,76627500
2021-05-06,38.480000,39.230000,37.959999,39.189999,38.838234,54944900
2021-05-07,39.049999,39.869999,39.049999,39.580002,39.224735,33807800
2021-05-10,39.830002,40.279999,39.779999,39.860001,39.502224,30831900
2021-05-11,39.680000,40.070000,39.230000,39.349998,38.996799,30568600
2021-05-12,39.439999,39.919998,39.310001,39.689999,39.333748,26208600
2021-05-13,39.500000,40.279999,39.500000,40.099998,39.740067,25415000
2021-05-14,40.240002,40.320000,39.919998,40.020000,39.660786,18041100
2021-05-17,40.070000,40.400002,40.009998,40.110001,39.749977,18095000
2021-05-18,40.180000,40.349998,39.830002,40.049999,39.690517,15805500
2021-05-19,39.900002,39.900002,39.430000,39.830002,39.472492,20209500
2021-05-20,39.730000,40.250000,39.720001,40.119999,39.759888,18621100
2021-05-21,40.209999,40.599998,39.910000,39.950001,39.591415,21144800
2021-05-24,40.080002,40.139999,39.779999,39.810001,39.452671,16922300
2021-05-25,39.820000,39.860001,39.240002,39.330002,38.976982,25916300
2021-05-26,39.290001,39.299999,38.779999,38.919998,38.570656,28036500
2021-05-27,38.970001,39.180000,38.599998,38.650002,38.303085,38471200
2021-05-28,38.750000,39.020000,38.680000,38.730000,38.382366,16154100
2021-06-01,38.939999,39.000000,38.480000,38.500000,38.154430,23642400
2021-06-02,38.639999,38.930000,38.540001,38.790001,38.441826,19629000
2021-06-03,38.759998,39.040001,38.630001,38.970001,38.620213,17376300
2021-06-04,39.049999,39.500000,39.020000,39.150002,38.798595,19375300
2021-06-07,39.080002,39.599998,38.970001,38.990002,38.640034,24110700
2021-06-08,39.070000,39.110001,38.480000,38.849998,38.501286,18880300
2021-06-09,39.000000,39.840000,38.980000,39.810001,39.452671,29824000
2021-06-10,39.900002,40.720001,39.889999,40.680000,40.314861,42613700
2021-06-11,40.660000,40.669998,39.950001,40.150002,39.789619,21386900
2021-06-14,40.029999,40.070000,39.380001,39.630001,39.274288,23408300
2021-06-15,39.709999,39.840000,39.389999,39.590000,39.234646,20206900
2021-06-16,39.619999,39.840000,39.279999,39.299999,38.947247,19177500
2021-06-17,39.270000,39.590000,39.070000,39.480000,39.125633,19580100
2021-06-18,39.299999,39.439999,38.700001,38.810001,38.461647,37775900
2021-06-21,38.880001,39.480000,38.880001,39.419998,39.066170,19488100
2021-06-22,39.410000,39.689999,39.259998,39.610001,39.254467,15975900
2021-06-23,39.630001,39.660000,38.980000,39.049999,38.699493,22025400
2021-06-24,39.139999,39.349998,39.080002,39.189999,38.838234,13436500
2021-06-25,39.119999,39.410000,38.889999,38.980000,38.630119,22774300
2021-06-28,39.009998,39.209999,38.900002,39.119999,38.768864,19225700
2021-06-29,39.130001,39.279999,38.980000,39.099998,38.749043,14516600
2021-06-30,39.139999,39.270000,38.820000,39.160000,38.808506,21248100
2021-07-01,39.169998,39.630001,39.110001,39.560001,39.204918,20035900
2021-07-02,39.459999,39.830002,39.380001,39.730000,39.373390,16592700
2021-07-06,39.480000,39.650002,39.040001,39.290001,38.937340,18931900
2021-07-07,39.220001,39.360001,38.970001,39.349998,38.996799,17665200
2021-07-08,39.000000,39.320000,38.930000,39.250000,38.897697,23021200
2021-07-09,39.529999,40.099998,39.459999,39.610001,39.254467,21571000
2021-07-12,39.660000,40.250000,39.599998,39.759998,39.403118,24513000
2021-07-13,39.770000,39.799999,39.529999,39.650002,39.294109,12222000
2021-07-14,39.720001,40.029999,39.660000,39.950001,39.591415,15888600
2021-07-15,39.950001,40.189999,39.860001,40.090000,39.730156,20250800
2021-07-16,40.139999,40.349998,39.930000,40.349998,39.987823,24255100
2021-07-19,40.070000,40.349998,39.680000,40.150002,39.789619,29818400
2021-07-20,40.250000,41.709999,40.200001,41.049999,40.681541,48804100
2021-07-21,41.240002,41.240002,40.520000,41.020000,40.651810,27530200
2021-07-22,41.119999,41.549999,40.900002,41.470001,41.097771,18913300
2021-07-23,41.459999,41.830002,41.419998,41.680000,41.305885,21609200
2021-07-26,41.619999,41.939999,41.389999,41.810001,41.434719,23720000
2021-07-27,41.820000,42.200001,41.580002,42.099998,41.722115,32544100
2021-07-28,42.349998,43.740002,42.250000,43.450001,43.060001,53822400
2021-07-29,43.230000,43.299999,42.619999,42.790001,42.790001,29015000
2021-07-30,42.880001,43.189999,42.689999,42.810001,42.810001,24753900
2021-08-02,43.299999,44.139999,43.250000,43.959999,43.959999,43066900
2021-08-03,44.169998,45.860001,44.070000,45.680000,45.680000,45543600
2021-08-04,45.349998,45.799999,45.009998,45.189999,45.189999,43355400
